1,0.0,2,2,1,0.0,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,2,0.0,0.0,1,1,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,2,10,10,5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,2,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
1,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,4,2,2,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,6,0.0,1,0.0,0.0,3,0.0,0.0,0.0,4,1,0.0,1,0.0,0.0,1,0.0,0.0,2,2,0.0,0.0,0.0,1,2,4,17,21,21.0,1,0.0,3,0.0,1,3,0.0,2,0.0,0.0,1,1,8,1,0.0,1,0.0,1,2,4,0.0,0.0
0.0,1,1,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,2,0.0,0.0,0.0,0.0,1,0.0,4,7,10,10.0,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,1,2,6,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1,3,8,5,5,0.0,1,0.0,1,2,1,0.0,0.0,0.0,2,5,1,0.0,0.0,25,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,7,0.0,0.0,1,0.0,0.0,5,1,2,2,1,0.0,1,1,0.0,0.0,3,0.0,2,5,0.0,0.0,1,0.0,2,1,6,22,23,7.666666666666667,0.0,3,3,1,4,1,1,5,0.0,0.0,0.0,4,12,0.0,0.0,2,0.0,0.0,1,1,0.0,0.0
3,3,4,4,1,0.0,1,0.0,0.0,0.0,0.0,0.0,4,0.0,3,1,3,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,4,0.0,0.0,1,0.0,0.0,4,0.0,1,0.0,3,0.0,1,0.0,0.0,0.0,1,0.0,1,3,2,0.0,0.0,0.0,0.0,0.0,7,25,34,34.0,1,2,4,0.0,5,1,1,2,0.0,0.0,0.0,1,16,1,0.0,0.0,0.0,1,1,3,0.0,0.0
2,2,1,2,0.0,0.0,0.0,0.0,2,0.0,0.0,1,1,0.0,0.0,3,1,0.0,0.0,10,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,3,9,10,5.0,0.0,0.0,1,0.0,5,0.0,2,0.0,0.0,0.0,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,6,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,16,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,4,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1,16,18,4.5,0.0,0.0,1,2,1,0.0,0.0,3,0.0,0.0,0.0,1,8,2,0.0,0.0,0.0,1,0.0,4,1,0.0
0.0,0.0,2,3,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,8,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
4,2,1,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,7,0.0,0.0,1,0.0,0.0,0.0,6,14,18,18.0,0.0,0.0,0.0,1,2,0.0,1,1,0.0,0.0,1,1,12,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0
1,1,0.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,3,13,16,16.0,0.0,1,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,2,6,1,0.0,0.0,0.0,1,0.0,2,0.0,1
