1,0.0,1,4,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,0.0,2,1,0.0,0.0,7,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,9,9,4.5,0.0,0.0,1,1,2,1,2,1,0.0,0.0,0.0,2,3,1,0.0,0.0,0.0,1,0.0
1,1,1,3,0.0,0.0,0.0,0.0,0.0,2,4,0.0,1,3,1,4,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1,0.0,0.0,3,1,3,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,3,1,2,1,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,1,0.0,0.0,0.0,0.0,2,4,14,15,7.5,0.0,0.0,3,0.0,6,1,1,0.0,0.0,0.0,1,3,9,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,8,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0.0,1,0.0,1,0.0,0.0,1,1,0.0,2,0.0,1,1,1,0.0,1,0.0,0.0,0.0,3,8,8,4.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,2,0.0,0.0,0.0,1,0.0,1,2,2,0.0,0.0,0.0,3,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,4,0.0,0.0,0.0,0.0,1,0.0,0.0,3,2,0.0,2,0.0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,5,14,15,7.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,3,10,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,10,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,3,4,1,0.0,0.0,1,0.0,0.0
0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1,0.0,3,0.0,0.0,0.0,19,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3,0.0,1,0.0,3,3,4,0.0,1,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,5,4,1,0.0,0.0,0.0,0.0,1,3,15,15,5.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,3,9,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,3,2,0.0,0.0,16,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,1,2,2,0.0,1,0.0,0.0,0.0,2,15,16,16.0,0.0,0.0,0.0,0.0,3,0.0,1,0.0,0.0,0.0,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,4,0.0,0.0,1,1,0.0,4,0.0,0.0,0.0,0.0,2,7,0.0,0.0,0.0,20,2,1,3,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,2,4,0.0,0.0,0.0,0.0,0.0,1,5,13,18,18.0,3,0.0,2,3,2,0.0,0.0,5,0.0,0.0,1,6,9,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,4,8,9,4.5,0.0,0.0,0.0,1,2,0.0,0.0,2,0.0,0.0,1,2,6,0.0,1,0.0,0.0,0.0,0.0
2,1,0.0,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,1,0.0,3,0.0,0.0,0.0,1,0.0,2,0.0,0.0,1,2,0.0,0.0,0.0,0.0,1,3,10,11,5.5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,6,1,2,0.0,0.0,0.0,0.0
