ID,pos_sentiment,neg_sentiment,pos_verb,neg_verb
78,0.065046,0.038812,0.018750,0.006250,Joey
79,0.000000,0.000000,0.000000,0.000000,Rachel
80,0.023333,0.024167,0.060417,0.025000,Joey
81,0.005000,0.010000,0.000000,0.000000,Rachel
82,0.007143,0.014286,0.050000,0.075000,Rachel
83,0.044531,0.007031,0.037500,0.012500,Joey
84,0.058182,0.018636,0.025000,0.017857,Rachel
85,0.000000,0.000000,0.000000,0.000000,Joey
86,0.000000,0.000000,0.000000,0.000000,Rachel
87,0.281250,0.031250,0.000000,0.000000,Joey
88,0.056250,0.010417,0.025000,0.000000,Joey
89,0.018750,0.018750,0.025000,0.000000,Chandler
90,0.000000,0.000000,0.000000,0.000000,Rachel
91,0.000000,0.000000,0.000000,0.000000,Joey
92,0.069318,0.019318,0.025000,0.000000,Joey
93,0.011364,0.007576,0.016667,0.000000,Rachel
94,0.029167,0.141667,0.050000,0.025000,Rachel
95,0.028571,0.098214,0.037500,0.000000,Rachel
96,0.000000,0.000000,0.000000,0.000000,Rachel
97,0.025000,0.018750,0.012500,0.000000,Chandler
98,0.005769,0.024038,0.000000,0.075000,Chandler
99,0.086458,0.022917,0.056250,0.000000,Rachel
100,0.029688,0.029167,0.028125,0.006250,Joey
101,0.065162,0.053819,0.016667,0.008333,Chandler
102,0.041667,0.041667,0.000000,0.000000,Chandler
103,0.012500,0.092500,0.000000,0.000000,Rachel
104,0.056250,0.006250,0.000000,0.000000,Chandler
105,0.187500,0.031250,0.000000,0.000000,Rachel
106,0.075000,0.031250,0.150000,0.000000,Rachel
107,0.046795,0.041667,0.025000,0.012500,Joey
108,0.039286,0.007143,0.025000,0.000000,Joey
109,0.043155,0.011012,0.095000,0.015000,Rachel
110,0.008333,0.000000,0.000000,0.000000,Rachel
111,0.066964,0.006250,0.000000,0.025000,Joey
112,0.012500,0.033333,0.000000,0.000000,Chandler
113,0.008333,0.003333,0.016667,0.008333,Chandler
114,0.000000,0.000000,0.000000,0.000000,Rachel
115,0.082292,0.031944,0.130000,0.030000,Joey
116,0.062623,0.040993,0.050000,0.025000,Joey
117,0.033333,0.079167,0.000000,0.000000,Rachel
118,0.067045,0.013636,0.059375,0.021875,Rachel
119,0.000000,0.000000,0.000000,0.000000,Rachel
120,0.088170,0.027455,0.029167,0.016667,Joey
121,0.046875,0.031250,0.137500,0.062500,Chandler
122,0.051042,0.046875,0.000000,0.000000,Chandler
123,0.003125,0.012500,0.000000,0.000000,Rachel
124,0.018750,0.018750,0.050000,0.025000,Rachel
125,0.020023,0.098495,0.030000,0.060000,Rachel
126,0.025000,0.000000,0.000000,0.000000,Rachel
127,0.025000,0.075000,0.000000,0.000000,Joey
128,0.088333,0.076667,0.125000,0.062500,Joey
129,0.062500,0.000000,0.000000,0.000000,Chandler
130,0.075926,0.015741,0.245833,0.029167,Chandler
131,0.023214,0.007143,0.041667,0.000000,Rachel
132,0.109722,0.034722,0.091667,0.041667,Rachel
133,0.025000,0.066667,0.000000,0.000000,Chandler
134,0.031944,0.039583,0.025000,0.066667,Chandler
135,0.030000,0.042083,0.008333,0.000000,Joey
136,0.015625,0.000000,0.000000,0.000000,Chandler
137,0.000000,0.000000,0.000000,0.000000,Rachel
138,0.044271,0.031641,0.041667,0.004167,Rachel
