 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Apostrophe,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Quote Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
1,2,2,7,0.0,0.0,0.0,1,3,2,0.0,0.0,1,0.0,5,2,1,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0.0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,2,0.0,0.0,0.0,0.0,1,3,16,17,8.5,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,1,0.0,1,10,4,1,0.0,0.0,1,2,4,0.0,0.0
1,0.0,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,5,0.0,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,7,8,4.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,2,4,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0
5,4,1,8,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,4,1,1,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,1,0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,4,1,0.0,3,0.0,0.0,2,5,13,13,6.5,0.0,0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,10,3,2,0.0,0.0,3,0.0,1,0.0,0.0
0.0,4,1,5,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,1,3,2,0.0,0.0,9,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,6,0.0,0.0,1,1,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,1,8,9,4.5,0.0,0.0,0.0,1,4,0.0,0.0,1,0.0,0.0,0.0,3,6,2,2,0.0,0.0,2,0.0,0.0,0.0,0.0
2,3,0.0,3,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0.0,2,0.0,1,0.0,0.0,6,0.0,0.0,1,0.0,0.0,2,0.0,1,1,2,0.0,1,0.0,0.0,4,4,16,16,8.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4,12,1,1,0.0,0.0,0.0,0.0,2,0.0,0.0
2,2,2,5,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,3,3,8,3,0.0,0.0,34,2,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,3,0.0,1,5,2,3,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,5,8,1,0.0,1,0.0,1,0.0,7,25,30,30.0,0.0,0.0,1,0.0,7,0.0,3,1,1,0.0,0.0,8,22,1,0.0,0.0,0.0,1,1,5,0.0,0.0
4,3,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0.0,17,1,0.0,0.0,0.0,3,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,2,2,1,0.0,0.0,2,0.0,1,7,13,14,14.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,2,14,3,0.0,0.0,0.0,0.0,1,4,0.0,0.0
1,2,0.0,4,0.0,0.0,0.0,1,0.0,4,0.0,0.0,0.0,0.0,2,5,1,0.0,0.0,15,0.0,0.0,1,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2,0.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,4,14,16,8.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,0.0,1,0.0,4,12,1,1,1,1,0.0,0.0,0.0,0.0,0.0
0.0,1,1,5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,3,0.0,1,0.0,10,0.0,1,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,4,7,10,3.3333333333333335,0.0,0.0,1,0.0,2,0.0,1,2,0.0,0.0,0.0,3,7,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0
1,3,3,15,0.0,0.0,0.0,4,2,5,5,0.0,0.0,3,7,12,5,1,0.0,50,0.0,1,4,0.0,0.0,0.0,4,3,4,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,6,0.0,1,8,3,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,7,4,8,15,0.0,0.0,1,0.0,3,0.0,9,41,51,7.285714285714286,0.0,0.0,0.0,0.0,4,0.0,0.0,2,6,1,3,6,27,4,1,3,0.0,2,2,4,0.0,0.0
2,1,1,6,0.0,0.0,0.0,1,0.0,4,0.0,0.0,0.0,0.0,4,7,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,6,1,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,1,10,0.0,0.0,0.0,6,0.0,3,8,18,20,10.0,2,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,5,14,4,1,0.0,0.0,1,0.0,0.0,2,0.0
0.0,5,1,6,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,2,0.0,11,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,4,0.0,0.0,2,0.0,0.0,1,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1,2,9,10,10.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,7,5,0.0,0.0,0.0,2,0.0,1,0.0,0.0
3,5,5,15,0.0,0.0,1,3,0.0,11,0.0,0.0,0.0,1,11,16,5,0.0,0.0,61,2,1,0.0,1,6,0.0,3,0.0,0.0,1,0.0,0.0,1,0.0,0.0,6,1,3,0.0,0.0,6,0.0,4,8,2,0.0,0.0,0.0,8,0.0,0.0,3,2,0.0,2,0.0,2,8,2,0.0,3,0.0,2,1,11,52,64,32.0,0.0,1,4,0.0,8,0.0,2,2,0.0,6,0.0,11,37,11,0.0,3,1,2,1,6,0.0,0.0
4,2,1,5,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,6,0.0,0.0,2,0.0,0.0,0.0,0.0,4,0.0,1,0.0,0.0,0.0,2,0.0,1,0.0,3,0.0,0.0,0.0,0.0,1,6,14,15,7.5,1,1,3,0.0,0.0,0.0,0.0,2,0.0,0.0,3,2,11,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0
0.0,2,4,7,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,0.0,0.0,6,0.0,0.0,1,2,0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,4,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1,1,10,12,3.0,0.0,0.0,0.0,4,0.0,0.0,0.0,6,0.0,0.0,0.0,1,4,1,0.0,0.0,0.0,1,0.0,1,2,0.0
0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,0.0,11,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,3,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3,3,0.0,0.0,0.0,0.0,2,0.0,3,9,10,10.0,3,0.0,2,1,0.0,0.0,0.0,1,2,0.0,0.0,0.0,5,1,0.0,0.0,0.0,1,0.0,2,0.0,0.0
2,5,1,11,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,3,0.0,7,6,5,1,0.0,28,0.0,0.0,0.0,0.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,3,0.0,2,0.0,0.0,0.0,0.0,0.0,3,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1,3,18,22,7.333333333333333,1,1,0.0,1,6,1,0.0,3,0.0,1,1,5,13,9,3,0.0,1,2,1,3,0.0,0.0
0.0,3,3,9,0.0,0.0,0.0,2,2,1,0.0,0.0,1,0.0,8,2,1,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,12,17,17.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,9,6,1,0.0,0.0,4,0.0,3,0.0,0.0
0.0,5,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,4,2,2,1,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2,3,0.0,0.0,1,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,1,3,10,15,7.5,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,8,2,2,0.0,0.0,2,0.0,2,0.0,0.0
3,0.0,1,7,0.0,0.0,0.0,3,0.0,1,1,0.0,1,0.0,4,4,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,3,1,0.0,1,0.0,0.0,0.0,1,0.0,1,2,0.0,0.0,0.0,0.0,4,0.0,0.0,4,1,0.0,1,0.0,4,0.0,0.0,0.0,0.0,0.0,3,0.0,5,4,2,0.0,0.0,0.0,0.0,0.0,7,23,25,8.333333333333334,0.0,0.0,0.0,4,2,0.0,0.0,4,0.0,0.0,0.0,3,13,2,0.0,0.0,0.0,2,0.0,3,0.0,0.0
0.0,2,1,4,0.0,0.0,0.0,2,0.0,1,0.0,0.0,1,0.0,2,2,0.0,1,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,1,0.0,5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,0.0,1,4,1,11,11,11.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,2,7,1,1,0.0,0.0,1,0.0,1,0.0,0.0
0.0,1,0.0,5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,3,3,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,2,0.0,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,2,1,0.0,0.0,1,0.0,0.0,0.0,2,11,11,5.5,0.0,0.0,0.0,0.0,4,0.0,1,0.0,0.0,0.0,1,1,4,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0
0.0,2,3,4,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,3,0.0,0.0,0.0,1,0.0,0.0,2,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,1,0.0,0.0,0.0,1,0.0,2,10,12,12.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,2,9,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0
