 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Colon,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
1,0.0,1,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,1,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,2,0.0,1,0.0,0.0,0.0,0.0,1,1,12,13,6.5,0.0,0.0,1,0.0,3,0.0,1,1,0.0,0.0,0.0,1,5,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1,1,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,1,0.0,3,1,1,0.0,0.0,0.0,0.0,6,1,11,11,11.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
0.0,0.0,3,1,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,3,9,10,10.0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.0,2,0.0,0.0,3,1,0.0,0.0,0.0,3,2,0.0,1,1,1,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,4,0.0,0.0,0.0,13,0.0,0.0,3,0.0,0.0,1,0.0,12,11,5,0.0,4,0.0,0.0,7,7,29,34,34.0,0.0,0.0,1,1,9,0.0,0.0,1,0.0,0.0,0.0,1,15,1,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2,0.0,0.0,1,0.0,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,1,2,10,10,10.0,1,0.0,1,0.0,0.0,0.0,0.0,3,0.0,0.0,1,1,6,0.0,0.0,0.0,0.0,0.0,1,4,2,0.0
1,0.0,0.0,1,0.0,0.0,1,0.0,3,1,1,1,0.0,0.0,0.0,4,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,0.0,1,0.0,6,0.0,0.0,0.0,0.0,0.0,1,0.0,2,4,2,0.0,1,0.0,1,4,4,18,19,19.0,0.0,0.0,0.0,2,2,0.0,0.0,3,2,0.0,2,2,11,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0
2,0.0,0.0,2,0.0,0.0,1,0.0,3,3,3,1,0.0,0.0,0.0,8,0.0,0.0,0.0,27,1,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,4,0.0,1,0.0,8,0.0,0.0,0.0,2,0.0,2,0.0,1,5,3,0.0,1,0.0,1,5,6,27,30,15.0,0.0,0.0,1,3,3,1,0.0,5,2,0.0,3,3,15,0.0,1,0.0,0.0,0.0,0.0,5,2,0.0
1,2,0.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,1,2,1,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,2,1,0.0,0.0,1,0.0,0.0,0.0,2,9,9,9.0,2,3,0.0,0.0,4,0.0,0.0,3,0.0,0.0,0.0,1,6,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0
1,1,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,1,0.0,2,1,0.0,0.0,0.0,0.0,0.0,2,12,13,13.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1,1,0.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
1,1,1,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,5,2,2,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,3,0.0,1,1,4,0.0,1,2,0.0,0.0,1,0.0,5,3,3,0.0,4,0.0,1,1,4,20,20,20.0,0.0,0.0,1,0.0,8,1,1,3,1,1,1,3,10,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,2,0.0,1,0.0,0.0,1,0.0,1,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,13,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,2,11,11,11.0,0.0,0.0,0.0,1,8,0.0,1,1,0.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
2,2,1,8,0.0,0.0,5,0.0,1,1,1,3,0.0,0.0,1,1,0.0,2,0.0,45,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,0.0,1,0.0,9,3,0.0,1,0.0,0.0,1,0.0,4,0.0,1,2,1,0.0,1,11,0.0,0.0,0.0,1,0.0,5,1,8,6,8,0.0,0.0,0.0,0.0,2,4,41,47,9.4,0.0,0.0,2,3,9,0.0,0.0,3,2,0.0,0.0,1,19,2,1,1,1,0.0,0.0,7,0.0,0.0
2,2,1,4,0.0,0.0,2,2,2,0.0,0.0,4,0.0,0.0,3,3,1,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,2,1,1,0.0,9,0.0,0.0,0.0,0.0,0.0,1,0.0,3,2,6,0.0,1,0.0,0.0,0.0,4,25,27,27.0,0.0,0.0,3,2,7,1,1,3,0.0,1,0.0,2,14,3,0.0,0.0,0.0,2,1,3,0.0,0.0
0.0,1,0.0,6,0.0,0.0,0.0,1,3,0.0,0.0,1,0.0,0.0,4,7,2,0.0,0.0,23,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,2,0.0,1,3,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.0,2,0.0,3,2,5,0.0,1,0.0,2,0.0,3,28,30,15.0,0.0,1,0.0,0.0,3,0.0,0.0,2,2,0.0,2,4,13,2,1,0.0,0.0,1,0.0,4,1,0.0
