 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Colon,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
0.0,2,1,3,0.0,1,0.0,0.0,2,0.0,0.0,0.0,1,0.0,2,2,1,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,1,1,0.0,1,0.0,0.0,1,0.0,1,2,0.0,0.0,0.0,0.0,0.0,1,2,9,9,9.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,1,6,1,0.0,0.0,0.0,1,1,0.0,0.0,0.0
1,0.0,1,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,3,1,1,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,7,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,7,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,0.0,2,7,0.0,0.0,1,6,0.0,0.0,8,13,15,15.0,0.0,0.0,1,1,2,1,1,1,0.0,0.0,1,1,10,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,0.0,2,0.0,0.0,1,0.0,1,1,1,0.0,0.0,0.0,1,2,1,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,7,0.0,0.0,1,0.0,0.0,1,0.0,1,1,0.0,0.0,1,0.0,0.0,7,1,10,10,10.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,2,0.0,4,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0
1,1,1,3,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,1,2,1,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,2,0.0,3,2,0.0,0.0,0.0,0.0,0.0,1,3,15,16,8.0,0.0,0.0,0.0,2,0.0,0.0,0.0,3,0.0,0.0,0.0,2,5,1,2,0.0,0.0,0.0,0.0,1,1,0.0
0.0,2,0.0,3,0.0,0.0,0.0,0.0,0.0,3,3,0.0,0.0,0.0,2,1,2,0.0,0.0,18,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,3,1,0.0,0.0,0.0,6,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,2,0.0,0.0,0.0,0.0,3,1,12,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
0.0,1,3,2,2,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,4,1,0.0,0.0,23,0.0,0.0,1,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,2,0.0,0.0,2,0.0,0.0,3,1,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,2,0.0,4,3,4,0.0,0.0,0.0,0.0,3,3,20,21,10.5,0.0,0.0,0.0,1,3,0.0,0.0,2,1,0.0,1,3,9,0.0,1,0.0,0.0,0.0,1,4,0.0,0.0
0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,3,0.0,1,0.0,1,0.0,0.0,0.0,0.0,8,9,9.0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,3,1,0.0,0.0,10,0.0,0.0,1,1,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,4,10,10,5.0,0.0,0.0,1,0.0,4,0.0,0.0,0.0,1,0.0,0.0,3,5,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,3,0.0,0.0,1,1,2,1,0.0,0.0,1,0.0,1,3,1,0.0,0.0,21,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,1,2,4,0.0,0.0,3,1,0.0,2,0.0,1,5,1,0.0,1,0.0,0.0,3,3,19,21,10.5,1,1,1,0.0,2,0.0,1,1,1,0.0,1,3,9,2,0.0,0.0,0.0,1,0.0,2,0.0,0.0
0.0,1,2,3,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,2,2,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,4,2,0.0,1,7,0.0,0.0,3,0.0,0.0,1,0.0,2,4,2,0.0,0.0,0.0,1,5,4,18,20,20.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,2,11,2,0.0,0.0,0.0,1,0.0,4,0.0,0.0
