 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Apostrophe,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Quote Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
1,1,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0,1,0.0,10,0.0,2,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,3,0.0,3,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,7,8,4.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,2,6,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
2,1,9,10,0.0,0.0,1,3,0.0,4,0.0,0.0,0.0,0.0,2,9,3,1,0.0,62,1,2,0.0,0.0,0.0,4,1,1,0.0,4,0.0,0.0,5,5,11,0.0,0.0,1,6,0.0,5,0.0,4,9,8,0.0,1,0.0,1,0.0,1,4,0.0,0.0,5,0.0,12,15,0.0,0.0,1,0.0,0.0,1,11,40,50,10.0,3,0.0,3,5,6,1,0.0,6,1,2,0.0,8,25,0.0,0.0,0.0,0.0,0.0,1,5,0.0,0.0
0.0,0.0,0.0,3,0.0,0.0,0.0,2,2,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,8,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,6,8,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.0,1,0.0,0.0,0.0,2,0.0,0.0
2,1,3,6,0.0,0.0,1,5,0.0,2,6,3,0.0,0.0,3,3,1,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,3,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,3,3,1,0.0,0.0,0.0,0.0,1,2,17,22,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,14,0.0,2,1,0.0,0.0,0.0,3,0.0,0.0
3,1,0.0,7,0.0,0.0,0.0,1,1,1,0.0,0.0,3,0.0,3,2,2,0.0,0.0,23,0.0,0.0,0.0,0.0,3,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,3,0.0,0.0,0.0,1,3,0.0,0.0,1,0.0,0.0,3,0.0,2,1,2,0.0,4,0.0,0.0,1,6,18,19,6.333333333333333,0.0,0.0,0.0,0.0,9,0.0,2,0.0,0.0,0.0,1,1,12,5,0.0,0.0,0.0,1,0.0,2,0.0,0.0
0.0,0.0,2,2,0.0,0.0,0.0,2,0.0,1,0.0,0.0,0.0,0.0,1,3,2,0.0,0.0,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,2,3,0.0,1,0.0,3,0.0,0.0,0.0,1,1,2,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,1,11,12,12.0,0.0,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,11,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5,8,11,5.5,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
2,0.0,2,5,0.0,0.0,0.0,0.0,1,1,0.0,0.0,3,0.0,2,3,0.0,0.0,0.0,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,3,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3,8,9,3.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,3,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,5,5,0.0,0.0,0.0,1,5,0.0,3,0.0,0.0,0.0,3,1,2,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,5,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,2,0.0,1,2,0.0,0.0,0.0,0.0,0.0,1,3,11,12,6.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,0.0,1,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,6,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,3,1,1,0.0,20,0.0,2,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,5,0.0,0.0,0.0,0.0,0.0,6,17,22,11.0,0.0,0.0,1,0.0,2,1,0.0,2,0.0,0.0,1,2,14,0.0,0.0,0.0,0.0,0.0,2,3,0.0,0.0
4,1,0.0,2,0.0,0.0,0.0,0.0,1,1,0.0,0.0,3,0.0,1,2,1,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4,4,0.0,0.0,4,1,0.0,0.0,5,10,10,10.0,0.0,0.0,0.0,0.0,9,0.0,2,1,0.0,1,0.0,1,8,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0
4,0.0,0.0,2,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0,4,9,9,9.0,0.0,0.0,1,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1,0.0,2,3,1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,1,1,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,3,0.0,1,0.0,0.0,0.0,0.0,3,0.0,0.0,3,0.0,0.0,2,6,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,2,14,14,7.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1,1,0.0,3,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,18,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,10,0.0,0.0,0.0,0.0,0.0,2,0.0,2,0.0,7,0.0,0.0,0.0,0.0,0.0,3,16,16,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,12,0.0,1,0.0,0.0,0.0,2,5,0.0,0.0
0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,3,5,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,4,0.0,0.0,2,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,8,10,10.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
3,3,1,5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,4,1,2,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,6,1,0.0,0.0,0.0,2,0.0,0.0,4,0.0,0.0,1,0.0,1,7,1,0.0,3,0.0,0.0,1,9,15,18,18.0,0.0,0.0,0.0,0.0,5,0.0,1,4,0.0,0.0,0.0,3,16,0.0,0.0,0.0,0.0,0.0,1,3,0.0,3
0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0,1,0.0,2,1,0.0,0.0,16,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,1,0.0,5,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,2,3,0.0,0.0,1,0.0,0.0,2,3,10,11,11.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,0.0,1,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,4,10,0.0,0.0,0.0,2,2,2,4,1,0.0,0.0,6,3,2,1,0.0,30,3,1,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,4,0.0,0.0,2,4,1,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,2,1,1,0.0,2,1,1,0.0,0.0,3,5,24,27,13.5,0.0,0.0,2,0.0,3,2,1,2,0.0,0.0,1,1,14,4,0.0,0.0,0.0,1,1,2,1,0.0
3,3,8,8,0.0,3,0.0,1,0.0,8,1,0.0,1,0.0,4,8,4,0.0,0.0,49,0.0,1,3,0.0,0.0,0.0,1,3,1,2,1,0.0,1,0.0,0.0,0.0,1,3,0.0,0.0,3,0.0,2,3,5,2,0.0,0.0,5,0.0,0.0,1,0.0,0.0,4,0.0,8,14,2,0.0,1,1,0.0,3,6,36,40,10.0,0.0,0.0,1,3,4,1,1,7,3,0.0,0.0,6,25,1,1,3,0.0,1,3,4,1,0.0
0.0,1,1,3,1,0.0,0.0,3,0.0,2,0.0,0.0,0.0,0.0,1,4,1,0.0,1,29,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0.0,1,5,0.0,2,0.0,0.0,3,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,2,0.0,1,3,2,0.0,0.0,0.0,0.0,4,3,22,25,12.5,2,1,0.0,0.0,1,0.0,0.0,2,0.0,0.0,4,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0
0.0,1,1,8,0.0,0.0,0.0,2,0.0,1,2,0.0,0.0,0.0,3,2,4,0.0,0.0,18,0.0,4,0.0,0.0,0.0,2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1,0.0,0.0,4,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,5,0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,4,17,22,4.4,2,1,0.0,2,3,0.0,3,3,0.0,0.0,2,2,12,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0
7,1,0.0,11,0.0,0.0,0.0,2,1,1,3,0.0,0.0,0.0,7,7,8,0.0,0.0,48,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,1,6,0.0,0.0,0.0,0.0,10,0.0,0.0,1,1,0.0,3,0.0,5,7,8,0.0,6,0.0,5,2,13,34,46,15.333333333333334,0.0,0.0,2,0.0,7,0.0,1,4,0.0,2,5,2,31,1,0.0,5,0.0,0.0,3,6,1,0.0
