never,know,5
yeah,all,5
missed,it,5
really,i,5
them,in,5
heard,that,5
to,ask,5
give,them,5
it,can,5
love,the,5
she,didnt,5
me,okay,5
nice,to,5
ya,i,5
win,we,5
our,apartment,5
the,play,5
to,happen,5
what,she,5
but,yknow,5
up,look,5
be,fun,5
do,know,5
guess,i,5
only,way,5
bye,then,5
ta,go,5
okay,this,5
okay,uh,5
where,is,5
they,didnt,5
do,to,5
and,emily,5
and,when,5
look,we,5
that,are,5
you,the,5
dont,take,5
this,the,5
me,oh,5
if,were,5
thing,we,5
yknow,that,5
so,glad,5
him,and,5
charge,of,5
live,with,5
uh,no,5
okay,with,5
should,get,5
mean,this,5
with,us,5
can,just,5
youre,still,5
all,about,5
monica,this,5
great,i,5
didnt,no,5
out,well,5
j,j,5
did,the,5
tell,them,5
you,monica,5
the,truth,5
out,okay,5
with,monica,5
little,girl,5
yes,you,5
only,one,5
i,kinda,5
okay,yeah,5
have,got,5
where,we,5
oh,hi,5
not,flirting,5
here,to,5
youll,be,5
forgive,me,5
and,dont,5
no,that,5
so,if,5
a,sign,5
should,we,5
it,could,5
game,i,5
before,i,5
the,rules,5
the,couch,5
next,door,5
the,balcony,5
that,and,5
tell,the,5
the,groom,5
monica,to,5
to,throw,5
of,things,5
fell,asleep,5
and,joey,5
id,love,5
monica,has,5
the,father,5
my,wifes,5
move,to,5
in,tulsa,5
right,for,5
im,back,4
the,middle,4
middle,of,4
down,and,4
my,mother,4
calls,me,4
out,loud,4
should,not,4
a,horrible,4
your,name,4
it,yes,4
excited,about,4
is,amazing,4
once,i,4
it,yeah,4
all,know,4
monica,you,4
look,for,4
for,an,4
the,biggest,4
do,well,4
its,about,4
them,to,4
get,this,4
or,not,4
im,putting,4
be,doing,4
and,ross,4
cant,you,4
this,hey,4
guys,and,4
the,bottom,4
then,well,4
now,well,4
thats,true,4
that,before,4
how,old,4
itd,be,4
my,last,4
oh,shes,4
im,getting,4
me,joey,4
whaddya,say,4
big,guy,4
huh,i,4
to,look,4
there,that,4
in,i,4
sleeping,with,4
it,that,4
left,you,4
she,likes,4
what,so,4
been,with,4
tonight,you,4
uh,rachel,4
sitting,there,4
just,you,4
the,two,4
you,may,4
uh,the,4
janice,hey,4
get,another,4
god,im,4
here,she,4
never,seen,4
beautiful,woman,4
this,im,4
my,name,4
did,but,4
said,yes,4
you,havent,4
right,and,4
was,at,4
like,two,4
so,far,4
something,to,4
a,relationship,4
you,already,4
